;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;(en blanco);Total general
20th Century;3;1;3;;;1;;;1;;1;1;;;;;;;;;1;1;;;1;;1;;;;;;1;;;1;;;2;1;1;1;1;;1;1;;;;;25
A24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;1;;1;2;1;1;;9
Amazon MGM Studios;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;2
Amazon Studios;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;;;;;;;2
Annapurna Pictures;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;1
Apple Studios;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;1;;3
CJ Entertainment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1;;2
Columbia Pictures;;1;1;1;;2;2;2;;;2;;;1;1;2;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18
DreamWorks Pictures;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Fine Line Features;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Focus Features;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;1;;1;1;1;1;;;1;1;;;2;1;;1;1;1;1;1;1;;19
Goldcrest Films;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Gramercy Pictures;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Hollywood Pictures;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
IFC Films;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;1
Island Pictures;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Janus Films;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1
Lionsgate;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;;;;;;;3;;;;;;;;;;;5
MGM;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;3
Miramax;;;;;;;;;;;;;1;;;1;1;1;1;1;1;2;1;1;1;2;;1;;;;;;;;;;;;;;;;;;;;;;;15
Mubi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1
Neon;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;2;;5
Netflix;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;2;2;1;1;1;2;;12
New Line Cinema;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;3
October Films;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Open Road Films;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;1
Orion Pictures;;;;;;;;1;;2;;1;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6
Paramount Pictures;;1;;2;3;;1;;1;1;1;;;2;;;;1;1;;;1;;;;1;;;;1;2;1;1;2;1;;2;1;1;2;;;;;;1;;;;;31
PolyGram Filmed Entertainment;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Roadside Attractions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1
Searchlight Pictures;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1;;1;1;1;;2;2;1;1;2;1;;2;1;1;1;1;1;1;1;;;23
Sony Pictures;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;1;1;1;1;2;;;;;;2;;;;;;;;10
Sony Pictures Classics;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;;;;1;;1;1;;1;;;1;;;1;;;;1;;;9
Summit Entertainment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1
The Weinstein Company;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;1;1;1;2;1;1;;1;;;;;;;;;;;10
Touchstone Pictures;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
TriStar Pictures;;;;;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
United Artists;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
United Artists Releasing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1
Universal Pictures;;1;;1;1;2;1;;1;;;;2;;;1;2;;2;;;;;2;1;;1;1;1;;;1;;;;1;;;;;1;1;1;;;1;1;1;1;;29
USA Films;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Walt Disney Pictures;;;;;;;;;;;;;;;1;;;;;;;;2;;;;;;;;;;1;1;2;1;;;1;;;1;;;;;;;;;10
Warner Bros.;1;;;;1;;1;1;1;1;;2;1;1;1;1;1;;;;1;;1;;;;1;2;1;2;1;;1;1;1;1;2;1;1;;1;1;1;1;2;1;1;1;1;;40
;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total general;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;10;10;9;9;9;8;8;9;9;8;9;8;10;10;10;10;10;;316
